Code Acte;N°;Désignation de la Prestation;Montant Global  TTC;"Montant pris en charge par l’entreprise (soit 80% TTC) plafonnés à 250;000;00DA TTC";Montant pris en charge par le bénéficiaire (soit 20% ou +  TTC);;
04TPI35080079;79;"ANGIO IRM   Vx du cou  Rénal; Digestif; aorte; etc";30 000;24 000;6 000;;
04TPI35080080;80;IRM Cerebro médullaire   Sans produit de contraste/ Sans Sédation;"35;000";"28;000";"7;000";;
04TPI35080081;81;IRM medullaire   Sans produit de contraste/ Sans Sédation;"28;000";"22;400";"5;600";;
04TPI35080082;82;IRM Cervico faciale   Sans produit de contraste/ Sans Sédation;"24;000";"19;200";"4;800";;
04TPI35080083;83;ENTERO IRM   Sans produit de contraste/ Sans Sédation;"24;000";"19;200";"4;800";;
04TPI35080084;84;IRM Membres inferieurs   Sans produit de contraste/ Sans Sédation;"24;000";"19;200";"4;800";;
04TPI35080085;85;ANGIO IRM cérébrale et Médullaire haute   Sans produit de contraste/ Sans Sédation;"35;000";"28;000";7 000;;
04TPI35080086;86;"IRM TETE  «cérébrale; crane; sinus; face; orbite; œil; cou; rachis cervicale; thyroïde; glandes salivaires; orl; etc. ….. »  Avec  produit de contraste et Sédation";26 000;"20;800";"5;200";;
04TPI35080087;87;Angio IRM cérébrale  Avec  produit de contraste et Sédation;"30;000";"24;000";"6;000";;
04TPI35080088;88;"IRM THORAX « aorte; cage thoracique; cotes; vertèbres thoraciques; aires ganglionnaires axillaires; etc.…»  Avec  produit de contraste et Sédation";"30;000";"24;000";"6;000";;
04TPI35080089;89;IRM rochers  Avec  produit de contraste et Sédation;"24;000";"19;200";"4;800";;
04TPI35080090;90;IRM rachis « cervicale »  Avec  produit de contraste et Sédation;26 000;"20;800";"5;200";;
04TPI35080091;91;IRM rachis « cervicale »  Avec  produit de contraste et Sédation;26 000;"20;800";"5;200";;
04TPI35080092;92;IRM rachis « thoracique (dorsal) »  Avec  produit de contraste et Sédation;"26;000";"20;800";"5;200";;
04TPI35080093;93;IRM rachis « thoracique (dorsal) »  Avec  produit de contraste et Sédation;"26;000";"20;800";"5;200";;
04TPI35080094;94;IRM rachis lombo sacre  Avec  produit de contraste et Sédation;"26;000";"20;800";"5;200";;
04TPI35080095;95;BILI IRM  Avec  produit de contraste et Sédation;"30;000";"24;000";"6;000";;
04TPI35080096;96;"IRM Articulation « épaule; coude; poignet; main; genou; cheville; pied; hanche; sacro iliaque…. »  Avec  produit de contraste et Sédation";21 000;16 800;"4;200";;
04TPI35080097;97;"IRM Articulation « épaule; poignet; main; genou...) avec la  prestation d’injection            (sans produit)  Avec  produit de contraste et Sédation";20 000;" 16;000.00   ";" 4;000.00   ";;
04TPI35080098;98;IRM mammaire  Avec  produit de contraste et Sédation;35  000;"28;000";"7;000";;
04TPI35080099;99;"IRM PELVIS « utérus; ovaires; vessie; prostate; fistule anale »  Avec  produit de contraste et Sédation";"30;000";"24;000";"6;000";;
04TPI35080100;100;IRM Abdominale  Avec  produit de contraste et Sédation;"30;000";"24;000";"6;000";;
04TPI35080101;101;IRM Hépatique  Avec  produit de contraste et Sédation;"30;000";"24;000";"6;000";;
04TPI35080102;102;URO IRM  Avec  produit de contraste et Sédation;"34;000";"27;200";"6;800";;
04TPI35080103;103; IRM  Fistule anale  Avec  produit de contraste et Sédation;"30;000";"24;000";"6;000";;
04TPI35080104;104;"ANGIO IRM   vaisseaux du cou ; Rénal; Digestif; aorte;..  Avec  produit de contraste et Sédation";36 000;"28;800";"7;200";;
04TPI35080105;105;IRM Cerebro médullaire  Avec  produit de contraste et Sédation;"42;000";"33;600";"8;400";;
04TPI35080106;106;IRM médullaire  Avec  produit de contraste et Sédation;"34;000";"27;200";"6;800";;
04TPI35080107;107;IRM Cervico faciale  Avec  produit de contraste et Sédation;"30;000";"24;000";"6;000";;
04TPI35080108;108;ENTERO IRM  Avec  produit de contraste et Sédation;"30;000";"24;000";"6;000";;
04TPI35080109;109;IRM Membres inferieurs  Avec  produit de contraste et Sédation;"30;000";"24;000";"6;000";;
04TPI35080110;110;ANGIO IRM cérébrale et Médullaire haute  Avec  produit de contraste et Sédation;"42;000";"33;600";"8;400";;
04TPI35080111;111;CRANE « une incidence »;1500;"1;200";3 00;;
04TPI35080112;112;CRANE FACE + PROFIL ;2000;"1;600";4 00;;
04TPI35080113;113;SINUS   N.M.P /  F.N.P;2000;1 600;4 00;;
04TPI35080114;114;R. CERVICALE  F + P     ;1 500;"1;200";3 00;;
04TPI35080115;115;R. CERVICALE  F + P     + 3/4;"3;000";"2;400";6 00;;
04TPI35080116;116;EPAULE FACE;"1;500";"1;200";3 00;;
04TPI35080117;117;EPAULE FACE + AUTRE INCIDENCE ;"2;500";"2;000"; 5 00;;
04TPI35080118;118;RACHIS.LOMBAIRE F+P ;"2;500";"2;000";5 00;;
04TPI35080119;119;RACHIS.LOMBAIRE F+P  +OBLIQUE ;"3;500";"2;800";7 00;;
04TPI35080120;120;R.DORSAL F+P;"2;500";"2;000";5 00;;
04TPI35080121;121;RACHIS DORSO LOMBAIRE FACE;1500;"1;200";300;;
04TPI35080122;122;R.BASSIN FACE ;"1;500";"1;200";300;;
04TPI35080123;123;R.BASSIN FACE +INCIDENCE ;"2;500";"2;000";500;;
04TPI35080124;124;RACHIS ENTIER;"4;500";"3;600";900;;
04TPI35080125;125;FEMUR FACE +PROFIL;"1;500";"1;200";300;;
04TPI35080126;126;GENOU F+P;"1;500";"1;200";300;;
04TPI35080127;127;GENOU EN CHARGE ;"2;000";"1;600";400;;
04TPI35080128;128;DEUX GENOUX FP EN CHARGE ;"3;000";"2;400";600;;
04TPI35080129;129;FEMORO-POTELLAIRE (30-60-90);2500;"2;000";500;;
04TPI35080130;130;BRAS F+P;"1;500";"1;200";300;;
04TPI35080131;131;COUDE F+P;"1;500";"1;200";300;;
04TPI35080132;132;AVANT BRAS F+P;"1;500";"1;200";300;;
04TPI35080133;133;POIGNET F+P ;"1;500";"1;200";300;;
04TPI35080134;134;POIGNET F+P +AUTRE INCIDENCE;"2;000";"1;600";400;;
04TPI35080135;135;MAIN F+P;"1;500";"1;200";300;;
04TPI35080136;136;TELETHORAX FACE;"1;500";"1;200";300;;
04TPI35080137;137;TELETHORAX FACE + PROFIL ;"2;500";"2;000";500;;
04TPI35080138;138;JAMBE F+ P;"1;500";"1;200";300;;
04TPI35080139;139;CHEVILLE F+P ;"1;500";"1;200";300;;
04TPI35080140;140;PIED F + P;"1;500";"1;200";300;;
04TPI35080141;141;ASP;"1;500";"1;200";300;;
04TPI35080142;142;ECHOGRAPHIE GENERALE ;"2;000";"1;600";4 00;;
04TPI35080143;143;ECHODOPPLER MEMBRE INFERIEUR;"4;000";"3;200";8 00;;
04TPI35080144;144;ECHODOPPLER MEMBRE  SUPERIEUR;"4;000";"3;200";8 00;;
04TPI35080145;145;ECHODOPPLER VAISSEAUX DU COU ;"4;000";"3;200";8 00;;
04TPI35080146;146;ECHODOPPLER  ARTERIELS et VENEUX des membres inferieurs;6 000;"4;800";"1;200";;
04TPI35080147;147;ECHODOPPLER  ARTERIELS et VENEUX des membres Supérieurs ;6 000;"4;800";"1;200";;
04TPI35080148;148;ECHODOPPLER  HEPATIQUE et PORTAL ;"4;000";"3;200";8 00;;
04TPI35080149;149;ECHODOPPLER  SPERMATIQUE ;"4;000";"3;200";8 00;;
04TPI35090001;1;AngioScanner cérébral avec produit;" 15;500.00   ";" 12;400.00   ";" 3;100.00   ";;
04TPI35090002;2;AngioScanner cérébral sans produit;" 12;000.00   ";" 9;600.00   ";" 2;400.00   ";;
04TPI35090003;3;AngioScanner cervical TSA avec produit;" 17;500.00   ";" 14;000.00   ";" 3;500.00   ";;
04TPI35090004;4;AngioScanner cervical TSA sans produit;" 14;000.00   ";" 11;200.00   ";" 2;800.00   ";;
04TPI35090005;5;AngioScanner des membres inférieurs avec produit;" 23;500.00   ";" 18;800.00   ";" 4;700.00   ";;
04TPI35090006;6;AngioScanner des membres inférieurs sans produit;" 20;000.00   ";" 16;000.00   ";" 4;000.00   ";;
04TPI35090007;7;AngioScanner des membres supérieurs avec produit;" 23;500.00   ";" 18;800.00   ";" 4;700.00   ";;
04TPI35090008;8;AngioScanner des membres supérieurs sans produit;" 20;000.00   ";" 16;000.00   ";" 4;000.00   ";;
04TPI35090009;9;AngioScanner hépatique avec produit;" 17;500.00   ";" 14;000.00   ";" 3;500.00   ";;
04TPI35090010;10;AngioScanner hépatique sans produit;" 14;000.00   ";" 11;200.00   ";" 2;800.00   ";;
04TPI35090011;11;AngioScanner rénal avec produit;" 17;500.00   ";" 14;000.00   ";" 3;500.00   ";;
04TPI35090012;12;AngioScanner rénal sans produit;" 14;000.00   ";" 11;200.00   ";" 2;800.00   ";;
04TPI35090013;13;AngioScanner thoracique avec produit;" 17;500.00   ";" 14;000.00   ";" 3;500.00   ";;
04TPI35090014;14;AngioScanner thoracique sans produit;" 14;000.00   ";" 11;200.00   ";" 2;800.00   ";;
04TPI35090015;15;ArthroScanner du genou avec produit;" 15;500.00   ";" 12;400.00   ";" 3;100.00   ";;
04TPI35090016;16;ArthroScanner du genou sans produit;" 12;000.00   ";" 9;600.00   ";" 2;400.00   ";;
04TPI35090017;17;Biopsie adénopathie cervicale;" 15;000.00   ";" 12;000.00   ";" 3;000.00   ";;
04TPI35090018;18;Biopsie axillaire;" 15;000.00   ";" 12;000.00   ";" 3;000.00   ";;
04TPI35090019;19;Biopsie mammaire;" 13;000.00   ";" 10;400.00   ";" 2;600.00   ";;
04TPI35090020;20;Biopsie pariétale;" 15;000.00   ";" 12;000.00   ";" 3;000.00   ";;
04TPI35090021;21;Biopsie prostatique;" 15;000.00   ";" 12;000.00   ";" 3;000.00   ";;
04TPI35090022;22;ColoScanner avec produit;" 16;500.00   ";" 13;200.00   ";" 3;300.00   ";;
04TPI35090023;23;ColoScanner sans produit;" 13;000.00   ";" 10;400.00   ";" 2;600.00   ";;
04TPI35090024;24;DentaScanner 01 maxil avec produit;" 11;500.00   ";" 9;200.00   ";" 2;300.00   ";;
04TPI35090025;25;DentaScanner 01 maxil sans produit;" 8;000.00   ";" 6;400.00   ";" 1;600.00   ";;
04TPI35090026;26;DentaScanner 02 maxil avec produit;" 19;500.00   ";" 15;600.00   ";" 3;900.00   ";;
04TPI35090027;27;DentaScanner 02 maxil sans produit;" 16;000.00   ";" 12;800.00   ";" 3;200.00   ";;
04TPI35090028;28;Doppler  artériel des membres inferieurs;" 4;000.00   ";" 3;200.00   "; 800.00   ;;
04TPI35090029;29;Doppler  veineux des membres superieurs;" 5;000.00   ";" 4;000.00   ";" 1;000.00   ";;
04TPI35090030;30;Doppler abdominal;" 4;000.00   ";" 3;200.00   "; 800.00   ;;
04TPI35090031;31;Doppler artériel des membres superieurs;" 4;000.00   ";" 3;200.00   "; 800.00   ;;
04TPI35090032;32;Doppler artérioveineux MI;" 4;000.00   ";" 3;200.00   "; 800.00   ;;
04TPI35090033;33;Doppler artérioveineux MS;" 5;000.00   ";" 4;000.00   ";" 1;000.00   ";;
04TPI35090034;34;Doppler Ccervical;" 4;000.00   ";" 3;200.00   "; 800.00   ;;
04TPI35090035;35;Doppler hépatique;" 4;000.00   ";" 3;200.00   "; 800.00   ;;
04TPI35090036;36;Doppler rénal;" 4;000.00   ";" 3;200.00   "; 800.00   ;;
04TPI35090037;37;Doppler scrotal;" 4;000.00   ";" 3;200.00   "; 800.00   ;;
04TPI35090038;38;Doppler thyroidien;" 4;000.00   ";" 3;200.00   "; 800.00   ;;
04TPI35090039;39;Doppler veineux des membres inferieurs;" 4;000.00   ";" 3;200.00   "; 800.00   ;;
04TPI35090040;40;Doppler veineux des membres inferieurs (Varices);" 4;000.00   ";" 3;200.00   "; 800.00   ;;
04TPI35090041;41;Echographie  axillaire;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090042;42;Echographie abdominopelvien;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090043;43;Echographie d'achille;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090044;44;Echographie de cuisse;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090045;45;Echographie de la cheville;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090046;46;Echographie de la hanche;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090047;47;Echographie de la main;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090048;48;Echographie de l'epaule;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090049;49;Echographie de l'orteil;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090050;50;Echographie des partie molles;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090051;51;Echographie du coude;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090052;52;Echographie du doigt;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090053;53;Echographie du genou;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090054;54;Echographie du pied;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090055;55;Echographie du poignet;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090056;56;Echographie du pouce;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090057;57;Echographie inguino-scrotale;" 3;500.00   ";" 2;800.00   "; 700.00   ;;
04TPI35090058;58;Echographie mammaire;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090059;59;Echographie pelvienne;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090060;60;Echographie testiculaire;" 3;500.00   ";" 2;800.00   "; 700.00   ;;
04TPI35090061;61;Echographie thyroidienne;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090062;62;EnteroScanner avec produit;" 16;500.00   ";" 13;200.00   ";" 3;300.00   ";;
04TPI35090063;63;EnteroScanner sans produit;" 13;000.00   ";" 10;400.00   ";" 2;600.00   ";;
04TPI35090064;64;Hyst2rographie avec produit;" 6;500.00   ";" 5;200.00   ";" 1;300.00   ";;
04TPI35090065;65;Hyst2rographie sans produit;" 7;500.00   ";" 6;000.00   ";" 1;500.00   ";;
04TPI35090066;66;Lavement baryté adulte;" 8;500.00   ";" 6;800.00   ";" 1;700.00   ";;
04TPI35090067;67;Radio :01 genoux f/p;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090068;68;Radio :Asp;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090069;69;Radio :ATM;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090070;70;Radio :Avant bras;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090071;71;Radio :Bassin f;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090072;72;Radio :Bras;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090073;73;Radio :Cavum p;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090074;74;Radio :Cheville;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090075;75;Radio :Clavicule;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090076;76;Radio :Contenu utérin;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090077;77;Radio :Coude;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090078;78;Radio :Crane f/p;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090079;79;Radio :Epaule;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090080;80;Radio :Fémoro patellaires 30°;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090081;81;Radio :Fémoro patellaires 30°  60°;" 3;000.00   ";" 2;400.00   "; 600.00   ;;
04TPI35090082;82;Radio :Fémoro patellaires 30°  60° 90°;" 3;500.00   ";" 2;800.00   "; 700.00   ;;
04TPI35090083;83;Radio :Fémur f/p;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090084;84;Radio :Gril costal f;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090085;85;Radio :Hanche f/p;" 2;500.00   ";" 2;000.00   "; 500.00   ;;
04TPI35090086;86;Radio :Jambe;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090087;87;Radio :les 02 genoux f/p;" 4;000.00   ";" 3;200.00   "; 800.00   ;;
04TPI35090088;88;Radio :Main;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090089;89;Radio :Membre superieur;" 3;500.00   ";" 2;800.00   "; 700.00   ;;
04TPI35090090;90;Radio :Os propre du nez;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090091;91;Radio :Panoramique dentaire;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090092;92;Radio :Pied;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090093;93;Radio :Pied en charge;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090094;94;Radio :Poignet;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090095;95;Radio :Rachis cervical f/p;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090096;96;Radio :Rachis cervico-dorsal f/p;" 4;000.00   ";" 3;200.00   "; 800.00   ;;
04TPI35090097;97;Radio :Rachis cervico-dorso-lombaire f/p (rachis total);" 5;000.00   ";" 4;000.00   ";" 1;000.00   ";;
04TPI35090098;98;Radio :Rachis dorsal f/p;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090099;99;Radio :Rachis dorso-lombaire f/p;" 3;000.00   ";" 2;400.00   "; 600.00   ;;
04TPI35090100;100;Radio :Rachis lombaire f/p;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090101;101;Radio :Sacro iliaque f;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090102;102;Radio :Selle turcique;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090103;103;Radio :Sinus (NMP/NFP);" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090104;104;Radio :Sternum;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090105;105;Radio :Talon;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090106;106;Radio :Telemétrie des membres inferieurs f;" 4;000.00   ";" 3;200.00   "; 800.00   ;;
04TPI35090107;107;Radio :Telemétrie du rachi f;" 4;000.00   ";" 3;200.00   "; 800.00   ;;
04TPI35090108;108;Radio :Teleradiographie p;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090109;109;Radio :Telethorax f;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090110;110;Radio :Telethorax f/p adulte;" 3;500.00   ";" 2;800.00   "; 700.00   ;;
04TPI35090111;111;Radio :Telethorax f/p enf;" 3;000.00   ";" 2;400.00   "; 600.00   ;;
04TPI35090112;112;Radio :Trans-thoracique;" 2;000.00   ";" 1;600.00   "; 400.00   ;;
04TPI35090113;113;Scanner abdominopelvien avec produit;" 15;500.00   ";" 12;400.00   ";" 3;100.00   ";;
04TPI35090114;114;Scanner abdominopelvien sans produit;" 12;000.00   ";" 9;600.00   ";" 2;400.00   ";;
04TPI35090115;115;Scanner cérébral;" 8;000.00   ";" 6;400.00   ";" 1;600.00   ";;
04TPI35090116;116;Scanner cervical avec produit ;" 11;500.00   ";" 9;200.00   ";" 2;300.00   ";;
04TPI35090117;117;Scanner cervical sans produit ;" 8;000.00   ";" 6;400.00   ";" 1;600.00   ";;
04TPI35090118;118;Scanner cervico TAP avec produit;" 21;500.00   ";" 17;200.00   ";" 4;300.00   ";;
04TPI35090119;119;Scanner cervico TAP sans produit;" 18;000.00   ";" 14;400.00   ";" 3;600.00   ";;
04TPI35090120;120;Scanner cervico thoracique avec produit;" 16;500.00   ";" 13;200.00   ";" 3;300.00   ";;
04TPI35090121;121;Scanner cervico thoracique sans produit;" 13;000.00   ";" 10;400.00   ";" 2;600.00   ";;
04TPI35090122;122;Scanner cervico-dorsal avec produit;" 18;500.00   ";" 14;800.00   ";" 3;700.00   ";;
04TPI35090123;123;Scanner cervico-dorsal sans produit;" 15;000.00   ";" 12;000.00   ";" 3;000.00   ";;
04TPI35090124;124;Scanner cervico-dorso-lombaire avec produit;" 21;500.00   ";" 17;200.00   ";" 4;300.00   ";;
04TPI35090125;125;Scanner cervico-dorso-lombaire sans produit;" 18;000.00   ";" 14;400.00   ";" 3;600.00   ";;
04TPI35090126;126;Scanner cranio-orbitaire avec produit ;" 11;500.00   ";" 9;200.00   ";" 2;300.00   ";;
04TPI35090127;127;Scanner cranio-orbitaire sans produit ;" 8;000.00   ";" 6;400.00   ";" 1;600.00   ";;
04TPI35090128;128;Scanner de la face avec  produit ;" 11;500.00   ";" 9;200.00   ";" 2;300.00   ";;
04TPI35090129;129;Scanner de la face sans produit ;" 8;000.00   ";" 6;400.00   ";" 1;600.00   ";;
04TPI35090130;130;Scanner de la main avec produit;" 11;500.00   ";" 9;200.00   ";" 2;300.00   ";;
04TPI35090131;131;Scanner de la main sans produit;" 8;000.00   ";" 6;400.00   ";" 1;600.00   ";;
04TPI35090132;132;Scanner de larynx avec produit ;" 11;500.00   ";" 9;200.00   ";" 2;300.00   ";;
04TPI35090133;133;Scanner de larynx sans produit ;" 8;000.00   ";" 6;400.00   ";" 1;600.00   ";;
04TPI35090134;134;Scanner de l'epaule avec produit;" 11;500.00   ";" 9;200.00   ";" 2;300.00   ";;
04TPI35090135;135;Scanner de l'epaule sans produit;" 8;000.00   ";" 6;400.00   ";" 1;600.00   ";;
04TPI35090136;136;Scanner de pied avec produit;" 11;500.00   ";" 9;200.00   ";" 2;300.00   ";;
04TPI35090137;137;Scanner de pied sans produit;" 8;000.00   ";" 6;400.00   ";" 1;600.00   ";;
04TPI35090138;138;Scanner de poignet avec produit;" 11;500.00   ";" 9;200.00   ";" 2;300.00   ";;
04TPI35090139;139;Scanner de poignet sans produit;" 8;000.00   ";" 6;400.00   ";" 1;600.00   ";;
04TPI35090140;140;Scanner de thorax avec produit;" 11;500.00   ";" 9;200.00   ";" 2;300.00   ";;
04TPI35090141;141;Scanner de thorax sans produit;" 8;000.00   ";" 6;400.00   ";" 1;600.00   ";;
04TPI35090142;142;Scanner des rochers avec produit ;" 11;500.00   ";" 9;200.00   ";" 2;300.00   ";;
04TPI35090143;143;Scanner des rochers sans produit ;" 8;000.00   ";" 6;400.00   ";" 1;600.00   ";;
04TPI35090144;144;Scanner dorsal avec produit;" 11;500.00   ";" 9;200.00   ";" 2;300.00   ";;
04TPI35090145;145;Scanner dorsal sans produit;" 8;000.00   ";" 6;400.00   ";" 1;600.00   ";;
04TPI35090146;146;Scanner dorso-lombaire avec produit;" 18;500.00   ";" 14;800.00   ";" 3;700.00   ";;
04TPI35090147;147;Scanner dorso-lombaire sans produit;" 15;000.00   ";" 12;000.00   ";" 3;000.00   ";;
04TPI35090148;148;Scanner du bassin avec produit;" 12;500.00   ";" 10;000.00   ";" 2;500.00   ";;
04TPI35090149;149;Scanner du bassin sans produit;" 9;000.00   ";" 7;200.00   ";" 1;800.00   ";;
04TPI35090150;150;Scanner du cavum avec produit ;" 11;500.00   ";" 9;200.00   ";" 2;300.00   ";;
04TPI35090151;151;Scanner du cavum sans produit ;" 8;000.00   ";" 6;400.00   ";" 1;600.00   ";;
04TPI35090152;152;Scanner du cou avec produit ;" 11;500.00   ";" 9;200.00   ";" 2;300.00   ";;
04TPI35090153;153;Scanner du cou sans produit ;" 8;000.00   ";" 6;400.00   ";" 1;600.00   ";;
04TPI35090154;154;Scanner du coude avec produit;" 11;500.00   ";" 9;200.00   ";" 2;300.00   ";;
04TPI35090155;155;Scanner du coude sans produit;" 8;000.00   ";" 6;400.00   ";" 1;600.00   ";;
04TPI35090156;156;Scanner du genou avec produit;" 12;500.00   ";" 10;000.00   ";" 2;500.00   ";;
04TPI35090157;157;Scanner du genou sans produit;" 9;000.00   ";" 7;200.00   ";" 1;800.00   ";;
04TPI35090158;158;Scanner lombaire avec produit;" 11;500.00   ";" 9;200.00   ";" 2;300.00   ";;
04TPI35090159;159;Scanner lombaire sans produit;" 8;000.00   ";" 6;400.00   ";" 1;600.00   ";;
04TPI35090160;160;Scanner orbitaire avec produit ;" 11;500.00   ";" 9;200.00   ";" 2;300.00   ";;
04TPI35090161;161;Scanner orbitaire sans produit ;" 8;000.00   ";" 6;400.00   ";" 1;600.00   ";;
04TPI35090162;162;Scanner TAGT avec produit;" 12;500.00   ";" 10;000.00   ";" 2;500.00   ";;
04TPI35090163;163;Scanner TAGT sans produit;" 9;000.00   ";" 7;200.00   ";" 1;800.00   ";;
04TPI35090164;164;Scanner thoraco-abdominopelvien avec produit;" 18;500.00   ";" 14;800.00   ";" 3;700.00   ";;
04TPI35090165;165;Scanner thoraco-abdominopelvien sans produit;" 15;000.00   ";" 12;000.00   ";" 3;000.00   ";;
04TPI35090166;166;Scialographie;" 6;500.00   ";" 5;200.00   ";" 1;300.00   ";;
04TPI35090167;167;TOGD;" 7;500.00   ";" 6;000.00   ";" 1;500.00   ";;
04TPI35090168;168;Uretero cystographie adulte;" 7;500.00   ";" 6;000.00   ";" 1;500.00   ";;
04TPI35090169;169;Uretero cystographie enfant;" 6;500.00   ";" 5;200.00   ";" 1;300.00   ";;
04TPI35090170;170;UrinoScanner avec produit;" 15;500.00   ";" 12;400.00   ";" 3;100.00   ";;
04TPI35090171;171;UrinoScanner sans produit;" 12;000.00   ";" 9;600.00   ";" 2;400.00   ";;
04TPI35090172;172;UroScanner avec produit;" 15;500.00   ";" 12;400.00   ";" 3;100.00   ";;
04TPI35090173;173;UroScanner sans produit;" 12;000.00   ";" 9;600.00   ";" 2;400.00   ";;
04TPI35100001;1;Angioscanner APC (tous les angioscanners);"15;000.00";"12;000.00";"3;000.00";;
04TPI35100002;2;Arthroscanner APC;"15;000.00";"12;000.00";"3;000.00";;
04TPI35100003;3;Coloscanner APC;"15;000.00";"12;000.00";"3;000.00";;
04TPI35100004;4;Coloscopie virtuelle SPC;"15;000.00";"12;000.00";"3;000.00";;
04TPI35100005;5;Dentascanner SPC  02 maxillaires;"14;000.00";"11;200.00";"2;800.00";;
04TPI35100006;6;Dentascanner SPC 01 maxillaire;"7;000.00";"5;600.00";"1;400.00";;
04TPI35100007;7;Doppler artériel des membres inferieure;"3;000.00";"2;400.00";600.00;;
04TPI35100008;8;Doppler artériel des membres supérieurs ;"3;000.00";"2;400.00";600.00;;
04TPI35100009;9;Doppler artério-veineux des membres inferieurs;"4;000.00";"3;200.00";800.00;;
04TPI35100010;10;Doppler artério-veineux des membres supérieurs;"4;000.00";"3;200.00";800.00;;
04TPI35100011;11;Doppler des TSA;"4;000.00";"3;200.00";800.00;;
04TPI35100012;12;Doppler hépatique;"4;000.00";"3;200.00";800.00;;
04TPI35100013;13;Doppler scrotal ;"3;000.00";"2;400.00";600.00;;
04TPI35100014;14;Doppler veineux des membres inferieurs;"3;000.00";"2;400.00";600.00;;
04TPI35100015;15;Doppler veineux des membres supérieurs;"3;000.00";"2;400.00";600.00;;
04TPI35100016;16;Echographie abdomino-pelvienne ;"2;000.00";"1;600.00";400.00;;
04TPI35100017;17;Echographie articulaire;"2;000.00";"1;600.00";400.00;;
04TPI35100018;18;Echographie cervicale;"2;000.00";"1;600.00";400.00;;
04TPI35100019;19;Echographie des parties molles ;"2;000.00";"1;600.00";400.00;;
04TPI35100020;20;Echographie mammaire;"2;000.00";"1;600.00";400.00;;
04TPI35100021;21;Echographie pelvienne ;"2;000.00";"1;600.00";400.00;;
04TPI35100022;22;Echographie testiculaire;"2;000.00";"1;600.00";400.00;;
